AVAILABILITY_365;CALCULATED_HOST_LISTINGS_COUNT;HOST_ID;HOST_NAME;ID;LAST_REVIEW;LATITUDE;LONGITUDE;MINIMUM_NIGHTS;NAME;NEIGHBOURHOOD;NEIGHBOURHOOD_GROUP;NUMBER_OF_REVIEWS;PRICE;REVIEWS_PER_MONTH;ROOM_TYPE
0;1;27539735;Anna;5316425;02/03/2016;5.253.329.644.048.020;13.419.625.337.686.400;1;Gemütliches Apartment Prenzl`Berg;Prenzlauer Berg Südwest;Pankow;2;80;0.06;Entire home/apt
0;1;70720198;Alexander;23123721;08/02/2018;5.251.762.540.327.860;13.300.264.519.116.600;1;Charmante Altbauwohnung am Schloss Charlottenburg;Schloß Charlottenburg;Charlottenburg-Wilm.;1;80;0.11;Private room
0;1;16008109;Franziska;3771324;26/07/2018;524.922.385.154.966;13.417.344.180.689.400;3;Cozy (family) appartment;Tempelhofer Vorstadt;Friedrichshain-Kreuzberg;10;80;0.2;Entire home/apt
8;1;218379562;Michael;28972826;12/10/2018;526.146.760.076.957;1.349.310.003.505.900;3;wonung in Berlin;Karow;Pankow;1;80;1.0;Entire home/apt
69;1;91849287;Cinzia;28974769;27/10/2018;525.149.385.016.847;13.457.274.106.606.200;1;Home sweet home;Frankfurter Allee Süd FK;Friedrichshain-Kreuzberg;2;80;2.0;Private room
0;1;9703745;Hannes;6592731;;5.251.797.507.754.790;13.460.858.633.913.300;1;Appartement in Friedrichshain;Frankfurter Allee Nord;Friedrichshain-Kreuzberg;0;80;;Entire home/apt
313;1;111472671;Harriet;19503120;21/10/2018;5.253.653.778.829.670;13.407.488.450.092.000;5;Wunderschöne 2 Zimmerwohnung im Herzen von Berlin;Prenzlauer Berg Südwest;Pankow;41;80;2.51;Entire home/apt
0;1;826546;Wolfgang;173153;30/10/2017;52.530.548.509.650.500;13.407.016.713.355.500;2;Beautiful flat 95m² in Berlin Mitte;Prenzlauer Berg Südwest;Pankow;33;80;0.38;Entire home/apt
2;2;8044170;Stephan & Adele;21807122;27/10/2018;5.254.001.750.988.370;1.341.708.698.296.320;4;Artistic Apartment in the Heart of Prenzlauer Berg;Prenzlauer Berg Südwest;Pankow;9;80;0.82;Entire home/apt
316;1;20016080;Mario;23649031;29/10/2018;5.250.793.642.311.090;13.469.669.145.350.500;2;central & cosy flat;Frankfurter Allee Süd FK;Friedrichshain-Kreuzberg;12;80;1.63;Entire home/apt
304;2;2403880;Claudia;1544094;09/07/2017;5.252.405.611.000.010;13.454.925.211.223.900;4;Sunny, quiet, park view - next to lifely n´hood;Prenzlauer Berg Ost;Pankow;4;80;0.06;Entire home/apt
17;1;171852467;Paulina;23126353;21/08/2018;5.253.701.378.040.610;13.398.022.209.831.100;3;Central, cosy and bright flat in Berlin Mitte;Brunnenstr. Süd;Mitte;7;80;0.88;Entire home/apt
0;1;3423602;Philipp;3163841;28/12/2017;5.250.930.719.459.480;13.458.199.141.907.800;3;Beautiful 78m² Large Flat - in Best Area!;Frankfurter Allee Süd FK;Friedrichshain-Kreuzberg;11;80;0.21;Entire home/apt
5;1;19289691;Manteo;22515446;24/10/2018;5.250.739.964.170.770;13.372.435.119.146.700;2;Berlin Potsdamer Platz - all a visit requires.;Tiergarten Süd;Mitte;32;80;3.71;Entire home/apt
67;1;4762520;Astrid;29005536;04/11/2018;5.253.553.677.813.390;13.405.087.737.762.200;2;Berlin Home very central yet quiet and green!;Brunnenstr. Süd;Mitte;2;80;2.0;Entire home/apt
8;7;30518151;Joachim P;19931261;10/09/2018;5.250.345.931.361.250;13.297.248.886.671.000;2;Your home abroad;Neue Kantstraße;Charlottenburg-Wilm.;2;80;0.43;Private room
0;1;38029953;Cecca;9934121;04/01/2018;52.486.251.926.493.400;1.343.508.327.215.260;3;Studio in the heart of Neukölln;Reuterstraße;Neukölln;7;80;0.22;Entire home/apt
